iteration,type,operator_id,weight
0,destroy,0,1
0,destroy,1,1
0,destroy,2,1
0,repair,0,1
0,repair,1,1
1,destroy,0,1
1,destroy,1,1
1,destroy,2,1
1,repair,0,1
1,repair,1,1
2,destroy,0,1
2,destroy,1,1
2,destroy,2,1
2,repair,0,1
2,repair,1,1
3,destroy,0,1
3,destroy,1,1
3,destroy,2,1
3,repair,0,1
3,repair,1,1
4,destroy,0,1
4,destroy,1,1
4,destroy,2,1
4,repair,0,1
4,repair,1,1
5,destroy,0,1
5,destroy,1,1
5,destroy,2,1
5,repair,0,1
5,repair,1,1
6,destroy,0,1
6,destroy,1,1
6,destroy,2,1
6,repair,0,1
6,repair,1,1
7,destroy,0,1
7,destroy,1,1
7,destroy,2,1
7,repair,0,1
7,repair,1,1
8,destroy,0,1
8,destroy,1,1
8,destroy,2,1
8,repair,0,1
8,repair,1,1
9,destroy,0,1
9,destroy,1,1
9,destroy,2,1
9,repair,0,1
9,repair,1,1
10,destroy,0,1
10,destroy,1,1
10,destroy,2,1
10,repair,0,1
10,repair,1,1
11,destroy,0,1
11,destroy,1,1
11,destroy,2,1
11,repair,0,1
11,repair,1,1
12,destroy,0,1
12,destroy,1,1
12,destroy,2,1
12,repair,0,1
12,repair,1,1
13,destroy,0,1
13,destroy,1,1
13,destroy,2,1
13,repair,0,1
13,repair,1,1
14,destroy,0,1
14,destroy,1,1
14,destroy,2,1
14,repair,0,1
14,repair,1,1
15,destroy,0,1
15,destroy,1,1
15,destroy,2,1
15,repair,0,1
15,repair,1,1
16,destroy,0,1
16,destroy,1,1
16,destroy,2,1
16,repair,0,1
16,repair,1,1
17,destroy,0,1
17,destroy,1,1
17,destroy,2,1
17,repair,0,1
17,repair,1,1
18,destroy,0,1
18,destroy,1,1
18,destroy,2,1
18,repair,0,1
18,repair,1,1
19,destroy,0,1
19,destroy,1,1
19,destroy,2,1
19,repair,0,1
19,repair,1,1
20,destroy,0,1
20,destroy,1,1
20,destroy,2,1
20,repair,0,1
20,repair,1,1
21,destroy,0,1
21,destroy,1,1
21,destroy,2,1
21,repair,0,1
21,repair,1,1
22,destroy,0,1
22,destroy,1,1
22,destroy,2,1
22,repair,0,1
22,repair,1,1
23,destroy,0,1
23,destroy,1,1
23,destroy,2,1
23,repair,0,1
23,repair,1,1
24,destroy,0,1
24,destroy,1,1
24,destroy,2,1
24,repair,0,1
24,repair,1,1
25,destroy,0,1
25,destroy,1,1
25,destroy,2,1
25,repair,0,1
25,repair,1,1
26,destroy,0,1
26,destroy,1,1
26,destroy,2,1
26,repair,0,1
26,repair,1,1
27,destroy,0,1
27,destroy,1,1
27,destroy,2,1
27,repair,0,1
27,repair,1,1
28,destroy,0,1
28,destroy,1,1
28,destroy,2,1
28,repair,0,1
28,repair,1,1
29,destroy,0,1
29,destroy,1,1
29,destroy,2,1
29,repair,0,1
29,repair,1,1
30,destroy,0,1
30,destroy,1,1
30,destroy,2,1
30,repair,0,1
30,repair,1,1
31,destroy,0,1
31,destroy,1,1
31,destroy,2,1
31,repair,0,1
31,repair,1,1
32,destroy,0,1
32,destroy,1,1
32,destroy,2,1
32,repair,0,1
32,repair,1,1
33,destroy,0,1
33,destroy,1,1
33,destroy,2,1
33,repair,0,1
33,repair,1,1
34,destroy,0,1
34,destroy,1,1
34,destroy,2,1
34,repair,0,1
34,repair,1,1
35,destroy,0,1
35,destroy,1,1
35,destroy,2,1
35,repair,0,1
35,repair,1,1
36,destroy,0,1
36,destroy,1,1
36,destroy,2,1
36,repair,0,1
36,repair,1,1
37,destroy,0,1
