iteration,current_obj,best_obj
0,6924.96,6924.96
1,3238.36,3238.36
2,3253.16,3238.36
3,852.384,852.384
4,748.168,748.168
5,752.669,748.168
6,728.148,728.148
7,735.221,728.148
8,751.557,728.148
9,746.797,728.148
10,735.696,728.148
11,728.383,728.148
12,731.536,728.148
13,734.014,728.148
14,735.078,728.148
15,714.009,714.009
16,714.009,714.009
17,712.999,712.999
18,716.041,712.999
19,716.041,712.999
20,748.109,712.999
21,740.978,712.999
22,740.656,712.999
23,729.733,712.999
24,739.078,712.999
25,883.754,712.999
26,862.56,712.999
27,705.523,705.523
28,734.964,705.523
29,711.828,705.523
30,707.903,705.523
31,759.107,705.523
32,767.419,705.523
33,763.815,705.523
34,763.815,705.523
35,725.742,705.523
36,712.064,705.523
37,709.315,705.523
38,731.508,705.523
39,678.195,678.195
40,712.909,678.195
41,699.564,678.195
42,727.267,678.195
43,727.267,678.195
44,706.952,678.195
45,714.269,678.195
46,714.269,678.195
47,711.151,678.195
48,711.151,678.195
49,772.854,678.195
50,772.37,678.195
51,748.17,678.195
52,731.701,678.195
53,690.337,678.195
54,688.369,678.195
55,2448.6,678.195
56,723.367,678.195
57,723.367,678.195
58,723.367,678.195
59,723.367,678.195
60,779.574,678.195
61,4338.9,678.195
62,727.655,678.195
63,722.84,678.195
64,717.062,678.195
65,711.684,678.195
66,711.684,678.195
67,709.548,678.195
68,694.774,678.195
69,700.18,678.195
70,700.18,678.195
71,711.406,678.195
72,708.439,678.195
73,704.69,678.195
74,704.69,678.195
75,703.529,678.195
76,1704.81,678.195
77,728.19,678.195
78,956.81,678.195
79,1291,678.195
80,885.404,678.195
81,754.457,678.195
82,754.457,678.195
83,744.339,678.195
84,744.988,678.195
85,742.075,678.195
86,742.521,678.195
87,739.26,678.195
88,743.708,678.195
89,725.795,678.195
90,758.625,678.195
91,763.601,678.195
92,758.174,678.195
93,755.586,678.195
94,755.586,678.195
95,780.973,678.195
96,777.545,678.195
97,744.702,678.195
98,731.352,678.195
99,1208.66,678.195
100,768.018,678.195
101,762.781,678.195
102,762.781,678.195
103,783.752,678.195
104,783.752,678.195
105,766.935,678.195
106,757.589,678.195
107,770.823,678.195
108,756.609,678.195
109,756.609,678.195
110,761.017,678.195
111,773.732,678.195
112,849.338,678.195
113,740.805,678.195
114,734.462,678.195
115,734.302,678.195
116,732.628,678.195
117,720.637,678.195
118,707.611,678.195
119,707.611,678.195
120,713.254,678.195
121,716.938,678.195
122,714.716,678.195
123,714.716,678.195
124,766.44,678.195
125,754.005,678.195
126,1032.25,678.195
127,1171.26,678.195
128,794.576,678.195
129,796.587,678.195
130,747.456,678.195
131,747.456,678.195
132,743.157,678.195
133,754.767,678.195
134,754.767,678.195
135,731.07,678.195
136,731.07,678.195
